,area,bhk,bath,location,price
140,825.0,2.0,2.0,Lajpat Nagar,150.0
141,900.0,2.0,2.0,Lajpat Nagar,130.0
142,875.0,2.0,2.0,Lajpat Nagar,150.0
143,1350.0,3.0,3.0,Lajpat Nagar,250.0
144,750.0,2.0,2.0,Lajpat Nagar,165.0
145,900.0,2.0,2.0,Lajpat Nagar,103.0
146,1350.0,3.0,3.0,Lajpat Nagar,260.0
147,900.0,2.0,2.0,Lajpat Nagar,110.0
148,1800.0,3.0,3.0,Lajpat Nagar,285.0
149,900.0,2.0,2.0,Lajpat Nagar,110.0
150,900.0,2.0,1.0,Others,110.0
151,810.0,1.0,2.0,Others,45.0
152,450.0,1.0,1.0,Others,36.0
154,900.0,1.0,2.0,Others,40.0
155,500.0,1.0,2.0,Others,16.5
156,450.0,1.0,1.0,Others,20.0
159,500.0,1.0,1.0,Others,20.0
160,444.0,1.0,2.0,Others,20.0
161,400.0,1.0,1.0,Others,20.0
162,729.0,1.0,4.0,Others,26.0
165,450.0,1.0,2.0,Others,40.0
166,405.0,1.0,3.0,Others,62.0
167,666.0,1.0,2.0,Others,35.0
169,1360.0,4.0,3.0,Rohini,135.0
171,850.0,1.0,2.0,Rohini,65.0
172,2170.0,4.0,4.0,Rohini,220.0
173,720.0,1.0,2.0,Rohini,60.0
174,850.0,1.0,2.0,Rohini,73.0
176,2300.0,4.0,4.0,Rohini,200.0
177,1300.0,4.0,4.0,Rohini,150.0
180,350.0,1.0,1.0,Others,23.0
184,350.0,1.0,1.0,Rohini,20.0
188,445.0,1.0,2.0,Rohini,28.0
189,380.0,1.0,1.0,Rohini,22.0
194,550.0,1.0,2.0,Rohini,35.0
197,300.0,1.0,1.0,Rohini,19.0
198,800.0,1.0,2.0,Rohini,55.0
200,700.0,1.0,2.0,Rohini,47.0
201,350.0,1.0,1.0,Rohini,24.0
202,450.0,1.0,2.0,Rohini,38.0
203,2200.0,4.0,4.0,Rohini,230.0
204,2300.0,4.0,4.0,Rohini,245.0
205,1150.0,3.0,2.0,Rohini,100.0
206,800.0,1.0,2.0,Rohini,55.0
207,850.0,1.0,2.0,Rohini,70.0
208,720.0,1.0,2.0,Rohini,65.0
209,4688.0,5.0,4.0,Patel Nagar,1350.0
211,3901.0,4.0,4.0,Patel Nagar,930.0
212,950.0,3.0,2.0,Uttam Nagar,43.7
215,2400.0,4.0,4.0,Greater Kailash,700.0
217,540.0,1.0,2.0,Dwarka,30.0
219,540.0,1.0,2.0,Uttam Nagar,33.0
220,976.0,2.0,2.0,Okhla,249.0
222,2700.0,4.0,3.0,Greater Kailash,600.0
223,1500.0,3.0,2.0,Dwarka,174.0
224,2900.0,5.0,5.0,Others,510.0
225,5025.0,5.0,5.0,Greater Kailash,1700.0
226,1000.0,3.0,2.0,Uttam Nagar,55.1
227,1135.0,3.0,3.0,Karol Bagh,250.0
228,2306.0,3.0,3.0,Patel Nagar,570.0
230,1200.0,3.0,3.0,Dwarka,155.0
231,1700.0,3.0,2.0,Dwarka,172.0
232,1800.0,4.0,3.0,Others,550.0
233,1100.0,2.0,2.0,Vasant Kunj,150.0
235,1550.0,4.0,3.0,Rohini,130.0
236,1600.0,3.0,3.0,Greater Kailash,300.0
241,1800.0,4.0,4.0,New Friends Colony,650.0
244,1700.0,3.0,3.0,New Friends Colony,385.0
245,2500.0,3.0,3.0,New Friends Colony,500.0
247,2450.0,4.0,4.0,New Friends Colony,700.0
249,4800.0,3.0,4.0,New Friends Colony,850.0
250,1600.0,3.0,3.0,New Friends Colony,400.0
251,3500.0,4.0,4.0,New Friends Colony,900.0
252,2100.0,4.0,5.0,New Friends Colony,560.0
253,4200.0,5.0,5.0,New Friends Colony,1355.0
254,1500.0,3.0,3.0,New Friends Colony,600.0
258,2070.0,3.0,3.0,New Friends Colony,375.0
259,3500.0,3.0,3.0,New Friends Colony,450.0
260,2000.0,4.0,4.0,New Friends Colony,700.0
264,1400.0,3.0,3.0,New Friends Colony,500.0
265,2800.0,4.0,5.0,New Friends Colony,750.0
269,2799.0,4.0,4.0,Greater Kailash,650.0
270,2650.0,4.0,4.0,Greater Kailash,750.0
271,2200.0,4.0,4.0,Greater Kailash,475.0
272,3500.0,5.0,5.0,Greater Kailash,700.0
273,2200.0,4.0,4.0,Greater Kailash,475.0
275,3500.0,4.0,4.0,Greater Kailash,850.0
276,1440.0,3.0,3.0,Greater Kailash,260.0
278,900.0,2.0,2.0,Greater Kailash,200.0
279,3690.0,4.0,5.0,Greater Kailash,790.0
280,1200.0,3.0,2.0,Greater Kailash,170.0
283,1350.0,3.0,3.0,Greater Kailash,260.0
284,1200.0,3.0,3.0,Greater Kailash,250.0
285,2177.0,4.0,5.0,Greater Kailash,510.0
286,1500.0,3.0,3.0,Greater Kailash,400.0
287,1600.0,3.0,3.0,Greater Kailash,225.0
289,2150.0,4.0,4.0,Greater Kailash,450.0
290,2107.0,4.0,4.0,Greater Kailash,511.0
291,1150.0,3.0,3.0,Greater Kailash,255.0
292,1240.0,3.0,3.0,Greater Kailash,265.0
293,1000.0,2.0,2.0,Greater Kailash,150.0
295,1150.0,3.0,3.0,Greater Kailash,260.0
298,3000.0,4.0,5.0,Greater Kailash,650.0
306,440.0,1.0,2.0,Shahdara,27.0
310,810.0,1.0,2.0,Shahdara,60.0
313,800.0,1.0,2.0,Shahdara,38.0
315,558.0,1.0,1.0,Shahdara,29.0
316,445.0,1.0,1.0,Shahdara,20.0
317,360.0,1.0,1.0,Shahdara,15.5
319,850.0,1.0,2.0,Shahdara,45.0
322,900.0,1.0,2.0,Shahdara,60.0
323,1050.0,3.0,2.0,Shahdara,90.0
327,495.0,1.0,1.0,Shahdara,19.0
329,810.0,1.0,2.0,Shahdara,60.0
330,750.0,1.0,2.0,Shahdara,64.0
331,540.0,1.0,1.0,Shahdara,27.0
